Убить пересмешника, Харпер Ли
Гордость и предубеждение, Джейн Остен
Дневник Анны Франк, Анна Франк
1984, Джордж Оруэлл
Гарри Поттер и философский камень, Джоан Роулинг
Властелин колец, Дж. Р. Р. Толкин
Великий Гэтсби, Ф. С. Фицджеральд
Паутина Шарлотты, Элвин Брукс Уайт
Маленькие женщины, Луиза Мэй Олкотт
Хоббит, Дж. Р. Р. Толкин
451° по Фаренгейту, Рэй Брэдбери
Джейн Эйр, Шарлотта Бронте
Унесенные ветром, Маргарет Митчелл
Скотный двор, Джордж Оруэлл
Над пропастью во ржи, Джером Д. Сэлинджер
Приключения Гекльберри Финна, Марк Твен
Прислуга, Кэтрин Стокетт
Гроздья гнева, Джон Стейнбек
Лев, Колдунья и Платяной шкаф, Клайв С. Льюис
Голодные игры, Сьюзен Коллинз
